,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
11,,2017,2,48,June-Reg,Ryan Vilade,Colorado Rockies,3b,1.43,Yes,MLB,2021-2021,2017-2023,HS,"Stillwater (Stillwater,OK)",OK,rf-lf,6-2,226,R,R,1999-02-18,"Grapevine,TX"
12,,2017,2,49,June-Reg,Gavin Sheets,Chicago White Sox,1b,2.00,Yes,MLB,2021-2023,2015-2023,College,Wake Forest,NC,rf-1b,6-4,215,L,L,1996-04-23,"Baltimore,MD"
13,,2017,2,50,June-Reg,Cal Mitchell,Pittsburgh Pirates,of,1.36,Yes,MLB,2022-2022,2017-2023,HS,"Rancho Bernardo (San Diego,CA)",CA,rf-lf,6-0,205,L,L,1999-03-08,"San Diego,CA"
14,,2017,2,51,June-Reg,Joe Dunand,Miami Marlins,3b,1.20,Yes,MLB,2022-2022,2015-2023,College,NC State,NC,3b-1b,6-2,205,R,R,1995-09-20,"Miami,FL"
15,,2017,2,52,June-Reg,MJ Melendez,Kansas City Royals,c,2.10,Yes,MLB,2022-2023,2017-2023,HS,"Westminster Christian (Miami,FL)",FL,c-lf,6-1,190,L,R,1998-11-29,"Daytona Beach,FL"
16,,2017,2,53,June-Reg,Joe Perez,Houston Astros,3b,1.60,Yes,MLB,2022-2022,2018-2023,HS,"Archbishop McCarthy (Fort Lauderdale,FL)",FL,3b-rf,6-2,198,R,R,1999-08-12,"Pembroke Pines,FL"
17,,2017,2,54,June-Reg,Matt Sauer,New York Yankees,p,2.50,Yes,AA,--,2017-2022,HS,"Ernest Righetti (Santa Maria,CA)",CA,p,6-4,195,R,R,1999-01-21,"Santa Maria,CA"
18,,2017,2,55,June-Reg,Sam Carlson,Seattle Mariners,p,2.00,Yes,A+,--,2017-2023,HS,"Burnsville (Burnsville,MN)",MN,p,6-4,195,R,R,1998-12-03,"Savage,MN"
19,,2017,2,56,June-Reg,Corbin Martin,Houston Astros,p,1.00,Yes,MLB,2019-2022,2015-2022,College,Texas A&M,TX,p,6-2,228,R,R,1995-12-28,"Houston,TX"
20,,2017,2,57,June-Reg,Reynaldo Rivera,Detroit Tigers,of,0.85,Yes,A+,--,2016-2021,College,Chipola,FL,1b,6-6,250,L,R,1997-06-14,"Toa Alta,PR"
